UPRN,house name,house number,street,address,licence start,licence expiry,permitted no. of occupiers,permitted no. of households,,,,,,,,,,,,,,
1001219037,,28,Hartington Street,"Loughborough, LE11 1HT",24-Oct-23,23-Oct-28,7,1,,,,,,,,,,,,,,
1095777207,Flat 1,37,Radmoor Road,"Loughborough, LE11 3BP",18-Apr-19,18-Apr-24,8,8,,,,,,,,,,,,,,
10003043669,,53,Burder Street ,"Loughborough, LE11 1JH",14-Mar-24,13-Mar-29,8,1,,,,,,,,,,,,,,
10003044183,,25,Edward Street,"Loughborough, LE11 1QF",07-Mar-24,06-Mar-29,5,5,,,,,,,,,,,,,,
10003044623,,38,Granville Street,"Loughborough, LE11 3BN",07-Mar-24,06-Mar-29,4,4,,,,,,,,,,,,,,
10003044630,,45,Granville Street,"Loughborough, LE11 3BL",21-Mar-24,20-Mar-29,3,3,,,,,,,,,,,,,,
10003046155,,126,Sharpley Road,"Loughborough, LE11 4BW",13-Mar-24,12-Mar-29,4,4,,,,,,,,,,,,,,
10004000008,,8b,Cliff Avenue,"Loughborough, LE11 5HH",14-Mar-24,13-Mar-29,6,1,,,,,,,,,,,,,,
10004000009,,10a,Cliff Avenue,"Loughborough, LE11 5HH",04-Mar-24,03-Mar-29,4,1,,,,,,,,,,,,,,
10004000015,,14a,Cliff Avenue,"Loughborough, LE11 5HH",28-Feb-24,27-Feb-29,6,1,,,,,,,,,,,,,,
10004000017,,37,Factory Street,"Loughborough, LE11 1AL",27-Feb-24,26-Feb-29,2,1,,,,,,,,,,,,,,
10004000055,,61,Queens Road,"Loughborough, LE11 1HA",08-Mar-24,07-Mar-29,4,4,,,,,,,,,,,,,,
10004000057,2 Towles Mill,,Queens Road,"Loughborough, LE11 1GG",18-Jul-19,08-Dec-23,6,6,,,,,,,,,,,,,,
10004000058,4 Towles Mill,,Queens Road,Loghborough LE11 1GG,06-Sep-23,05-Sep-28,7,7,,,,,,,,,,,,,,
10004000059,5 Towles Mill,,Queens Road,"Loughborough, LE11 1GG",10-Jun-20,10-Jun-25,6,6,,,,,,,,,,,,,,
10004000060,6 Towles Mill,,Queens Road,"Loughborough, LE11 1GG",11-Nov-18,11-Nov-23,6,6,,,,,,,,,,,,,,
10004000061,7 Towles Mill,,Queens Road,"Loughborough, LE11 1GG",14-Sep-19,14-Sep-24,6,6,,,,,,,,,,,,,,
10004000062,8 Towles Mill,,Queens Road,"Loughborough, LE11 1GG",20-Oct-19,20-Oct-24,6,6,,,,,,,,,,,,,,
10004000063,9 Towles Mill,,Queens Road,"Loughborough, LE11 1GG",23-Jan-20,13-Sep-24,6,6,,,,,,,,,,,,,,
10004000064,10 Towles Mill,,Queens Road,"Loughborough, LE11 1GG",27-Feb-24,26-Feb-29,6,6,,,,,,,,,,,,,,
10004000065,11 Towles Mill,,Queens Road,"Loughborough, LE11 1GG",08-Nov-19,15-Feb-24,6,6,,,,,,,,,,,,,,
10004000066,12 Towles Mill,,Queens Road,"Loughborough, LE11 1GG",05-Jan-23,04-Jan-28,5,5,,,,,,,,,,,,,,
10004000067,14 Towles Mill,,Queens Road,"Loughborough, LE11 1GG",29-May-19,29-May-24,6,6,,,,,,,,,,,,,,
10004000075,,22,Bridgeland Road,"Loughborough, LE11 1GE",06-Mar-24,05-Mar-29,6,1,,,,,,,,,,,,,,
10004000206,,72,William Street,"Loughborough, LE11 3BZ",13-Nov-19,13-Nov-24,6,6,,,,,,,,,,,,,,
10004000712,,21,Kingfisher Way,"Loughborough, LE11 3NF",13-Sep-23,21-Jan-28,5,5,,,,,,,,,,,,,,
10004000713,,23,Kingfisher Way,"Loughborough, LE11 3NF",07-Dec-23,06-Dec-28,5,5,,,,,,,,,,,,,,
10004000715,,27,Kingfisher Way," Loughborough, LE11 3NF",27-Jul-23,26-Jul-28,6,6,,,,,,,,,,,,,,
10004000716,,29,Kingfisher Way,"Loughborough, LE11 3NF",08-Dec-22,10-May-27,6,6,,,,,,,,,,,,,,
10004000721,,39,Kingfisher Way,"Loughborough, LE11 3NF",23-Oct-20,23-Oct-25,5,5,,,,,,,,,,,,,,
10004000722,,41,Kingfisher Way,"Loughborough, LE11 3NF",28-Feb-24,27-Feb-29,5,5,,,,,,,,,,,,,,
10004000725,,47,"Kingfisher Way,","Loughborough, LE11 3NF",06-Nov-23,05-Nov-28,4,4,,,,,,,,,,,,,,
10004000726,,49,"Kingfisher Way,","Loughborough, LE11 3NF",27-Mar-24,26-Mar-29,4,4,,,,,,,,,,,,,,
10004000727,,51,Kingfisher Way,"Loughborough, LE11 3NF",20-Mar-24,19-Mar-29,4,4,,,,,,,,,,,,,,
10004000728,,53,Kingfisher Way,"Loughborough, LE11 3NF",18-Jan-24,17-Jan-29,4,4,,,,,,,,,,,,,,
10004000731,,58,Kingfisher Way,"Loughborough, LE11 3NF",21-Feb-24,20-Feb-29,4,4,,,,,,,,,,,,,,
10004000732,,61,Kingfisher Way,"Loughborough, LE11 3NF",18-Mar-24,17-Mar-29,4,4,,,,,,,,,,,,,,
10004000739,,50,Kingfisher Way,"Loughborough, LE11 3NF",02-Nov-23,01-Nov-28,4,4,,,,,,,,,,,,,,
10004000740,,52,Kingfisher Way,"Loughborough, LE11 3NF",05-Feb-24,04-Feb-29,4,4,,,,,,,,,,,,,,
10004000741,,54,Kingfisher Way,"Loughborough, LE11 3NF",20-Feb-24,19-Mar-29,4,4,,,,,,,,,,,,,,
10004000744,,60,Kingfisher Way,"Loughborough, LE11 3NF",14-Nov-23,13-Nov-28,4,4,,,,,,,,,,,,,,
10004000745,,62,Kingfisher Way,"Loughborough, LE11 3NF",19-Feb-21,18-Feb-26,5,5,,,,,,,,,,,,,,
10004000746,,64,Kingfisher Way ,"Loughborough, LE11 3NF",20-Jul-23,17-Dec-27,5,5,,,,,,,,,,,,,,
10004000764,Flat 56,18-58,Moira Street,"Loughborough, LE11 1AX",06-Dec-23,05-Dec-28,4,1,,,,,,,,,,,,,,
10004000764,,2,Moorhen Way,"Loughborough, LE11 3HH",08-Feb-21,16-Dec-25,5,5,,,,,,,,,,,,,,
10004000768,,6,Moorhen Way,"Loughborough, LE11 3HH",21-Mar-24,20-Mar-29,4,4,,,,,,,,,,,,,,
10004000770,,8,Moorhen Way,"Loughborough, LE11 3HH",20-Mar-24,19-Mar-29,4,4,,,,,,,,,,,,,,
10004000772,,10,Moorhen Way,"Loughborough, LE11 3HH",20-Mar-24,19-Mar-29,4,4,,,,,,,,,,,,,,
10004000774,,12,Moorhen Way,"Loughborough, LE11 3HH",05-Mar-24,04-Mar-29,4,4,,,,,,,,,,,,,,
10004000776,,14,Moorhen Way,"Loughborough, LE11 3HH",04-Dec-20,24-Jul-25,6,6,,,,,,,,,,,,,,
10004000777,,15,Moorhen Way,"Loughborough, LE11 3HH",23-Sep-20,22-Sep-25,6,6,,,,,,,,,,,,,,
10004000779,,16,Moorhen Way,"Loughborough, LE11 3HH",26-Apr-22,25-Apr-27,6,6,,,,,,,,,,,,,,
10004000785,,105,Rendell Street,"Loughborough, LE11 1LJ",30-Apr-21,16-Dec-25,5,5,,,,,,,,,,,,,,
10004000789,,8,Robin Mews,"Loughborough, LE11 3HJ",11-Mar-24,10-Mar-29,4,4,,,,,,,,,,,,,,
10004000796,,2,Wren Close,"Loughborough, LE11 3HL",30-Apr-21,29-Apr-26,6,6,,,,,,,,,,,,,,
10004000797,,3,Wren Close,"Loughborough, LE11 3HL",08-Jan-24,07-Jan-29,4,4,,,,,,,,,,,,,,
10004000798,,6,Wren Close,"Loughborough, LE11 3HL",02-Dec-20,24-Jul-25,6,6,,,,,,,,,,,,,,
10004000799,,5,Wren Close,"Loughborough, LE11 3HL",25-Mar-24,24-Mar-29,4,4,,,,,,,,,,,,,,
10004000800,,7,Wren Close,"Loughborough, LE11 3HL",28-Feb-24,27-Feb-29,4,4,,,,,,,,,,,,,,
10004000801,,4,Wren Close,"Loughborough, LE11 3HL",07-Dec-20,06-Dec-25,6,6,,,,,,,,,,,,,,
10004000802,,8,Wren Close,"Loughborough, LE11 3HL",,,,,,,,,,,,,,,,,,
10004000804,,10,Wren Close,"Loughborough, LE11 3HL",23-Oct-23,22-Oct-28,5,4,,,,,,,,,,,,,,
10004000805,,14,Wren Close,"Loughborough, LE11 3HL",11-Jan-24,10-Jan-29,5,5,,,,,,,,,,,,,,
10004000806,,12,Wren Close,"Loughborough, LE11 3HL",28-Feb-24,27-Feb-29,4,4,,,,,,,,,,,,,,
10004000808,,11,York Road,"Loughborough, LE11 3DA",21-Dec-23,20-Dec-28,4,4,,,,,,,,,,,,,,
10004000810,,2,Adam Dale,"Loughborough, LE11 3HD",18-Dec-23,17-Dec-28,5,5,,,,,,,,,,,,,,
10004000811,,3,Adam Dale,"Loughborough, LE11 3HD",12-Jul-22,11-Jul-27,6,6,,,,,,,,,,,,,,
10004000812,,4,Adam Dale,"Loughborough, LE11 3HD",15-Nov-23,14-Nov-28,4,4,,,,,,,,,,,,,,
10004000813,,5,Adam Dale,"Loughborough, LE11 3HD",07-Feb-19,07-Feb-24,5,5,,,,,,,,,,,,,,
10004000818,,10,Adam Dale,"Loughborough, LE11 3HD",18-Apr-23,14-Oct-27,6,6,,,,,,,,,,,,,,
10004000819,,11,Adam Dale,"Loughborough, LE11 3HD",31-Mar-20,31-Mar-25,5,5,,,,,,,,,,,,,,
