uprn,house name,house number,street,licence start,licence expiry,permitted no of occupiers,address,postcode,licence type,licence reference number
100030000000,,56, Station Street,20/02/2024,19/02/2029,3, Loughborough, LE11 5EE,Additional HMO licence,CBC-001252290858
200001000000,,4, Copeland Crescent,18/03/2024,17/03/2029,4, Loughborough, LE11 5JE,Additional HMO licence,CBC-001455911636
100030000000,,56, Paget Street,04/01/2024,03/01/2029,4, Loughborough, LE11 5DT,Additional HMO licence,CBC-002609342184
100030000000,,54, Oxford Street,12/06/2024,11/06/2029,4, Loughborough, LE11 5DR,Additional HMO licence,CBC-005084927058
100030000000,,108, Ashby Road,12/03/2024,11/03/2029,3, Loughborough, LE11 3AF,Additional HMO licence,CBC-005892702373
100030000000,,3, Granville Street,27/02/2024,26/02/2029,4, Loughborough, LE11 3BL,Additional HMO licence,CBC-008439875756
100030000000,,13, Oxford Street,12/03/2024,11/03/2029,3, Loughborough, LE11 5DP,Additional HMO licence,CBC-008486685224
10008151673,,41, Goods Yard Close,12/07/2024,11/07/2029,4, Loughborough, LE11 5EB,Additional HMO licence,CBC-009698162110
10004000956,,57, Havelock Street,18/12/2023,17/12/2028,4, Loughborough, LE11 5DH,Additional HMO licence,CBC-010803896014
100030000000,,128, Paget Street,31/10/2023,30/10/2028,4, Loughborough, LE11 5DU,Additional HMO licence,CBC-014229912940
100030000000,,81, Ratcliffe Road,21/03/2024,20/03/2029,4, Loughborough, LE11 1LG,Additional HMO licence,CBC-015201467306
10008152292," Flat 11, Cherry Croft ",64a, Kingfisher Way,29/02/2024,28/02/2029,3, Loughborough, LE11 3NF,Additional HMO licence,CBC-015497891971
100030000000,,22, York Road,26/02/2024,25/02/2029,4, Loughborough, LE11 3DA,Additional HMO licence,CBC-015863125900
100030000000,,13, Station Street,25/03/2024,24/03/2029,4, Loughborough, LE11 5ED,Additional HMO licence,CBC-021856183984
100030000000,,2, Browns Lane,21/12/2023,20/12/2028,4, Loughborough, LE11 3HE,Additional HMO licence,CBC-026977984151
10004000792,,11, Robin Mews,29/05/2024,28/05/2029,4, Loughborough, LE11 3HJ,Additional HMO licence,CBC-029864373303
100030000000,,12, Chestnut Street,07/03/2024,06/03/2029,4, Loughborough, LE11 3BE,Additional HMO licence,CBC-030279951398
10008151662,,19, Goods Yard Close,17/02/2024,16/02/2029,3, Loughborough, LE11 5EB,Additional HMO licence,CBC-030902203845
100030000000,,39, Oaklands Avenue,22/02/2024,21/02/2029,4, Loughborough, LE11 3JF,Additional HMO licence,CBC-031332186778
100030000000,,53, Rosebery Street,18/12/2023,17/12/2028,4, Loughborough, LE11 5DX,Additional HMO licence,CBC-031830632773
10004000991,Flat 29 ,23-30, Barnsdale Close,06/03/2024,05/03/2029,3, Loughborough, LE11 5AN,Additional HMO licence,CBC-033294784206
100030000000,,35, Havelock Street,19/02/2024,18/02/2029,4, Loughborough, LE11 5DH,Additional HMO licence,CBC-033447704977
100030000000,,151, Sharpley Road,11/01/2024,10/01/2029,3, Loughborough, LE11 4PL,Additional HMO licence,CBC-034790425463
100030000000,,7, Oxford Street,06/11/2023,05/11/2028,4, Loughborough, LE11 5DP,Additional HMO licence,CBC-035032896350
100030000000,,14, Granville Street,19/02/2024,18/02/2029,4, Loughborough, LE11 3BN,Additional HMO licence,CBC-039204125843
10004000731,,59, Kingfisher Way,26/10/2023,25/10/2028,4, Loughborough, LE11 3NF,Additional HMO licence,CBC-042281882540
100030000000,,60, Paget Street,11/01/2024,10/01/2029,3, Loughborough, LE11 5DT,Additional HMO licence,CBC-042427854606
10070069803,,9, Pevensey Road,08/04/2024,07/04/2029,4, Loughborough, LE11 5UE,Additional HMO licence,CBC-043546269899
100030000000,,5, George Street,05/04/2024,04/04/2029,4, Loughborough, LE11 5DQ,Additional HMO licence,CBC-045117391779
100030000000,,250, Forest Road,25/03/2024,24/03/2029,3, Loughborough, LE11 3HX,Additional HMO licence,CBC-046314126351
100030000000,,156, Hermitage Road,14/03/2024,13/03/2029,3, Loughborough, LE11 4PF,Additional HMO licence,CBC-046632277939
100030000000,,94, Hermitage Road,01/04/2024,31/03/2029,4, Loughborough, LE11 4PF,Additional HMO licence,CBC-047035841832
10004000873,,16, Goldfinch Close,28/03/2024,27/03/2029,4, Loughborough, LE11 3HG,Additional HMO licence,CBC-047992911721
100030000000,,33, Oaklands Avenue,18/04/2024,17/04/2029,3, Loughborough, LE11 3JF,Additional HMO licence,CBC-048691931485
100032000000,,18a, Pinfold Gate,27/03/2024,26/03/2029,4, Loughborough, LE11 1BE,Additional HMO licence,CBC-048707974974
100030000000,,127, Herrick Road,29/02/2024,28/02/2029,4, Loughborough, LE11 2BS,Additional HMO licence,CBC-052141390557
