Licence type,Licence reference number,Property address,UPRN,Licence start date,Licence end date,Maximum permitted occupants
Mandatory HMO licence,CBC-239991462584,"72, Blenheim Road, Leicester, LE4 4FL",1.0003E+11,26/05/2021,25/05/2026,6
Mandatory HMO licence,CBC-742573896263,"64, Alan Moss Road, Loughborough, LE11 5LX",1.0003E+11,10/10/2024,09/10/2029,5
Mandatory HMO licence,CBC-957056157687,"8, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,14/02/2023,14/06/2027,0
Mandatory HMO licence,CBC-452032550289,"20, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,12/07/2022,10/10/2026,0
Mandatory HMO licence,CBC-557047075622,"Redholme 184, Ashby Road, Loughborough, LE11 3AG",1.0003E+11,18/12/2024,17/12/2029,7
Mandatory HMO licence,CBC-609368587706,"37, Blackbrook Road, Loughborough, LE11 4PY",1.0003E+11,26/08/2024,25/08/2029,5
Mandatory HMO licence,CBC-306681541166,"71, Brookfield Avenue, Loughborough, LE11 3LN",1.0003E+11,10/11/2022,09/11/2027,7
Mandatory HMO licence,CBC-348313194667,"1, Boyer Street, Loughborough, LE11 1DT",1.0003E+11,02/01/2025,01/01/2030,5
Mandatory HMO licence,CBC-894182607500,"98, Derby Road, Loughborough, LE11 5AG",1.0003E+11,25/03/2022,24/03/2027,0
Mandatory HMO licence,CBC-548196512548,"125, Derby Road, Loughborough, LE11 5AE",1.0003E+11,19/07/2023,16/07/2027,6
Mandatory HMO licence,CBC-192272277400,"Westbridge House Block A 67-69, Forest Road, Loughborough, LE11 3NW",1.0003E+11,02/11/2023,04/09/2027,30
Mandatory HMO licence,CBC-065168464601,"3, Cumberland Road, Loughborough, LE11 5DE",1.0003E+11,31/07/2023,31/10/2027,6
Mandatory HMO licence,CBC-053536032410,"63, Cumberland Road, Loughborough, LE11 5DE",1.0003E+11,29/05/2020,29/05/2025,0
Mandatory HMO licence,CBC-215308031028,"11, Curzon Street, Loughborough, LE11 3BQ",1.0003E+11,09/03/2022,08/03/2027,0
Mandatory HMO licence,CBC-812695140183,"33, Cotswold Close, Loughborough, LE11 3AN",1.0003E+11,24/11/2021,23/11/2026,0
Mandatory HMO licence,CBC-919762941943,"28, Gladstone Street, Loughborough, LE11 1NS",1.0003E+11,16/02/2024,15/02/2029,5
Mandatory HMO licence,CBC-409996653730,"72, Frederick Street, Loughborough, LE11 3BJ",1.0003E+11,30/11/2021,29/11/2026,0
Mandatory HMO licence,CBC-615551270550,"8, Havelock Street, Loughborough, LE11 5DH",1.0003E+11,24/11/2021,23/11/2026,0
Mandatory HMO licence,CBC-589116952505,"14, Havelock Street, Loughborough, LE11 5DH",1.0003E+11,15/11/2023,14/11/2028,5
Mandatory HMO licence,CBC-793104346426,"36, Kirkstone Drive, Loughborough, LE11 3RW",1.0003E+11,29/03/2022,28/03/2027,0
Mandatory HMO licence,CBC-464463667128,"98, Leopold Street, Loughborough, LE11 5DW",1.0003E+11,29/02/2024,28/02/2029,5
Mandatory HMO licence,CBC-873054602248,"16, Paget Street, Loughborough, LE11 5DS",1.0003E+11,24/08/2023,23/08/2028,5
Mandatory HMO licence,CBC-506791647755,"83, Paget Street, Loughborough, LE11 5DT",1.0003E+11,30/08/2023,11/08/2027,5
Mandatory HMO licence,CBC-590133536302,"105, Ratcliffe Road, Loughborough, LE11 1LG",1.0003E+11,14/09/2023,13/09/2028,6
Mandatory HMO licence,CBC-674206386728,"17, Station Street, Loughborough, LE11 5ED",1.0003E+11,26/03/2021,25/03/2026,0
Mandatory HMO licence,CBC-648107691122,"87, Storer Road, Loughborough, LE11 5EH",1.0003E+11,19/05/2021,18/05/2026,0
Mandatory HMO licence,CBC-451196816343,"14, York Road, Loughborough, LE11 3DA",1.0003E+11,20/01/2021,20/01/2026,0
Mandatory HMO licence,CBC-940810160796,"23, York Road, Loughborough, LE11 3DA",1.0003E+11,22/06/2023,28/10/2027,7
Mandatory HMO licence,CBC-433840249223,"35, York Road, Loughborough, LE11 3DA",1.0003E+11,13/06/2023,04/11/2027,5
Mandatory HMO licence,CBC-438997730428,"29, Kingfisher Way, Loughborough, LE11 3NF",10004000716,08/12/2022,10/05/2027,0
Mandatory HMO licence,CBC-522979108629,"62, Kingfisher Way, Loughborough, LE11 3NF",10004000745,19/02/2021,18/02/2026,0
Mandatory HMO licence,CBC-115981862808,"141-143, Ashby Road, Loughborough, LE11 3AD",1.0003E+11,01/02/2021,16/12/2025,0
Mandatory HMO licence,CBC-188511254742,"40, Leopold Street, Loughborough, LE11 5DL",1.0003E+11,15/07/2020,15/07/2025,0
Mandatory HMO licence,CBC-823805132952,"2, Adam Dale, Loughborough, LE11 3HD",10004000810,18/12/2023,17/12/2028,5
Mandatory HMO licence,CBC-584479094338,"43, Ashleigh Drive, Loughborough, LE11 3HN",1.0003E+11,22/03/2021,21/03/2026,0
Mandatory HMO licence,CBC-144970682570,"207, Alan Moss Road, Loughborough, LE11 4LT",1.0003E+11,05/03/2025,04/03/2030,5
Mandatory HMO licence,CBC-730981697196,"3, Arthur Street, Loughborough, LE11 3AY",1.0003E+11,07/12/2020,06/12/2025,0
Mandatory HMO licence,CBC-635093818298,"Westfields 192, Ashby Road, Loughborough, LE11 3AG",1.0003E+11,03/06/2020,03/06/2025,0
Mandatory HMO licence,CBC-606260990700,"52, Blackbrook Road, Loughborough, LE11 4PZ",1.0003E+11,14/09/2023,13/09/2028,5
Mandatory HMO licence,CBC-683147574580,"10, Benscliffe Drive, Loughborough, LE11 3JP",1.0003E+11,23/07/2024,22/07/2029,5
Mandatory HMO licence,CBC-807603493337,"62, Beacon Road, Loughborough, LE11 2BQ",1.0003E+11,12/03/2021,11/01/2026,0
Mandatory HMO licence,CBC-346713479680,"68, Derby Road, Loughborough, LE11 5BX",1.0003E+11,27/04/2023,04/10/2027,5
Mandatory HMO licence,CBC-254238470984,"104, Derby Road, Loughborough, LE11 5AG",1.0003E+11,26/07/2021,20/04/2026,0
Mandatory HMO licence,CBC-734725499527,"180, Derby Road, Loughborough, LE11 5HL",1.0003E+11,24/05/2024,23/05/2029,5
Mandatory HMO licence,CBC-219552259850,"35, Cumberland Road, Loughborough, LE11 5DE",1.0003E+11,05/06/2024,04/06/2029,6
Mandatory HMO licence,CBC-455605981738,"28, Curzon Street, Loughborough, LE11 3BQ",1.0003E+11,04/12/2020,24/07/2025,0
Mandatory HMO licence,CBC-339326436548,"9, Cotswold Close, Loughborough, LE11 3AN",1.0003E+11,14/02/2023,13/02/2028,5
Mandatory HMO licence,CBC-864725422113,"81, Empress Road, Loughborough, LE11 1RH",1.0003E+11,31/03/2021,30/03/2026,0
Mandatory HMO licence,CBC-238008151973,"42, Frederick Street, Loughborough, LE11 3BJ",1.0003E+11,17/05/2023,13/07/2027,5
Mandatory HMO licence,CBC-513078178262,"73, Havelock Street, Loughborough, LE11 5DH",1.0003E+11,25/07/2023,24/07/2028,5
Mandatory HMO licence,CBC-832110033201,"52, Granville Street, Loughborough, LE11 3BN",1.0003E+11,04/12/2020,24/07/2025,0
Mandatory HMO licence,CBC-149247334894,"35, Langdale Avenue, Loughborough, LE11 3RP",1.0003E+11,27/07/2023,26/07/2028,6
Mandatory HMO licence,CBC-333137276302,"48a, Knightthorpe Road, Loughborough, LE11 4JT",1.0003E+11,18/07/2023,30/10/2027,5
Mandatory HMO licence,CBC-960466906188,"85, Leopold Street, Loughborough, LE11 5DN",1.0003E+11,16/04/2021,30/12/2025,0
Mandatory HMO licence,CBC-119791362810,"127, Leopold Street, Loughborough, LE11 5DW",1.0003E+11,29/06/2023,25/07/2027,5
Mandatory HMO licence,CBC-094754054833,"22, Oxford Street, Loughborough, LE11 5DR",1.0003E+11,24/08/2023,25/10/2027,5
Mandatory HMO licence,CBC-421120483660,"31, Oxford Street, Loughborough, LE11 5DP",1.0003E+11,08/07/2020,08/07/2025,0
Mandatory HMO licence,CBC-286684268169,"409, New Ashby Road, Loughborough, LE11 4EU",1.0003E+11,23/10/2023,22/10/2028,5
Mandatory HMO licence,CBC-539857483387,"140, Nottingham Road, LE11 1EX",1.0003E+11,28/03/2024,27/03/2029,7
Mandatory HMO licence,CBC-284514281658,"16, Oaklands Avenue, Loughborough, LE11 3JF",1.0003E+11,26/07/2023,25/07/2028,6
Mandatory HMO licence,CBC-599622979040,"3, Radmoor Road, Loughborough, LE11 3BP",1.0003E+11,18/09/2020,18/09/2025,0
Mandatory HMO licence,CBC-100354778607,"106, Park Road, Loughborough, LE11 2HH",1.0003E+11,12/07/2022,23/01/2027,0
Mandatory HMO licence,CBC-691724025785,"43, Storer Road, Loughborough, LE11 5EH",1.0003E+11,04/10/2022,15/03/2027,0
Mandatory HMO licence,CBC-043992742465,"4, Rupert Brooke Road, Loughborough, LE11 4NJ",1.0003E+11,27/05/2020,27/05/2025,0
Mandatory HMO licence,CBC-221529711392,"29, York Road, Loughborough, LE11 3DA",1.0003E+11,29/07/2021,28/07/2026,0
Mandatory HMO licence,CBC-709543934490,"31, York Road, Loughborough, LE11 3DA",1.0003E+11,13/06/2023,30/10/2027,5
Mandatory HMO licence,CBC-090208079984,"26, Frederick Street, Loughborough, LE11 3BJ",1.00032E+11,22/01/2024,21/01/2029,5
